#           k/h    P           
    0.83096E-03    0.33569E+04
    0.83931E-03    0.33887E+04
    0.84775E-03    0.34207E+04
    0.85627E-03    0.34530E+04
    0.86488E-03    0.34856E+04
    0.87357E-03    0.35185E+04
    0.88235E-03    0.35518E+04
    0.89121E-03    0.35853E+04
    0.90017E-03    0.36191E+04
    0.90922E-03    0.36532E+04
    0.91836E-03    0.36876E+04
    0.92759E-03    0.37223E+04
    0.93691E-03    0.37573E+04
    0.94632E-03    0.37926E+04
    0.95583E-03    0.38283E+04
    0.96544E-03    0.38642E+04
    0.97514E-03    0.39005E+04
    0.98494E-03    0.39371E+04
    0.99484E-03    0.39741E+04
    0.10048E-02    0.40113E+04
    0.10149E-02    0.40489E+04
    0.10251E-02    0.40868E+04
    0.10354E-02    0.41250E+04
    0.10458E-02    0.41636E+04
    0.10564E-02    0.42025E+04
    0.10670E-02    0.42418E+04
    0.10777E-02    0.42814E+04
    0.10885E-02    0.43213E+04
    0.10995E-02    0.43616E+04
    0.11105E-02    0.44023E+04
    0.11217E-02    0.44433E+04
    0.11330E-02    0.44846E+04
    0.11443E-02    0.45263E+04
    0.11558E-02    0.45684E+04
    0.11675E-02    0.46108E+04
    0.11792E-02    0.46536E+04
    0.11910E-02    0.46968E+04
    0.12030E-02    0.47403E+04
    0.12151E-02    0.47842E+04
    0.12273E-02    0.48285E+04
    0.12397E-02    0.48731E+04
    0.12521E-02    0.49182E+04
    0.12647E-02    0.49636E+04
    0.12774E-02    0.50094E+04
    0.12902E-02    0.50555E+04
    0.13032E-02    0.51021E+04
    0.13163E-02    0.51491E+04
    0.13295E-02    0.51964E+04
    0.13429E-02    0.52442E+04
    0.13564E-02    0.52923E+04
    0.13700E-02    0.53409E+04
    0.13838E-02    0.53898E+04
    0.13977E-02    0.54392E+04
    0.14117E-02    0.54890E+04
    0.14259E-02    0.55391E+04
    0.14403E-02    0.55897E+04
    0.14547E-02    0.56407E+04
    0.14694E-02    0.56922E+04
    0.14841E-02    0.57440E+04
    0.14990E-02    0.57963E+04
    0.15141E-02    0.58489E+04
    0.15293E-02    0.59021E+04
    0.15447E-02    0.59556E+04
    0.15602E-02    0.60096E+04
    0.15759E-02    0.60640E+04
    0.15917E-02    0.61188E+04
    0.16077E-02    0.61741E+04
    0.16239E-02    0.62298E+04
    0.16402E-02    0.62860E+04
    0.16567E-02    0.63426E+04
    0.16734E-02    0.63996E+04
    0.16902E-02    0.64571E+04
    0.17072E-02    0.65151E+04
    0.17243E-02    0.65735E+04
    0.17416E-02    0.66323E+04
    0.17591E-02    0.66917E+04
    0.17768E-02    0.67514E+04
    0.17947E-02    0.68116E+04
    0.18127E-02    0.68723E+04
    0.18309E-02    0.69335E+04
    0.18493E-02    0.69951E+04
    0.18679E-02    0.70572E+04
    0.18867E-02    0.71198E+04
    0.19057E-02    0.71828E+04
    0.19248E-02    0.72463E+04
    0.19442E-02    0.73103E+04
    0.19637E-02    0.73747E+04
    0.19834E-02    0.74397E+04
    0.20034E-02    0.75051E+04
    0.20235E-02    0.75710E+04
    0.20438E-02    0.76373E+04
    0.20644E-02    0.77042E+04
    0.20851E-02    0.77715E+04
    0.21061E-02    0.78393E+04
    0.21272E-02    0.79077E+04
    0.21486E-02    0.79765E+04
    0.21702E-02    0.80458E+04
    0.21920E-02    0.81155E+04
    0.22141E-02    0.81858E+04
    0.22363E-02    0.82566E+04
    0.22588E-02    0.83279E+04
    0.22815E-02    0.83996E+04
    0.23044E-02    0.84719E+04
    0.23276E-02    0.85446E+04
    0.23510E-02    0.86179E+04
    0.23746E-02    0.86916E+04
    0.23985E-02    0.87659E+04
    0.24226E-02    0.88406E+04
    0.24469E-02    0.89159E+04
    0.24715E-02    0.89916E+04
    0.24964E-02    0.90679E+04
    0.25214E-02    0.91446E+04
    0.25468E-02    0.92219E+04
    0.25724E-02    0.92997E+04
    0.25982E-02    0.93779E+04
    0.26243E-02    0.94567E+04
    0.26507E-02    0.95359E+04
    0.26774E-02    0.96157E+04
    0.27043E-02    0.96960E+04
    0.27314E-02    0.97767E+04
    0.27589E-02    0.98580E+04
    0.27866E-02    0.99398E+04
    0.28146E-02    0.10022E+05
    0.28429E-02    0.10105E+05
    0.28715E-02    0.10188E+05
    0.29003E-02    0.10272E+05
    0.29295E-02    0.10356E+05
    0.29589E-02    0.10441E+05
    0.29887E-02    0.10526E+05
    0.30187E-02    0.10612E+05
    0.30490E-02    0.10698E+05
    0.30797E-02    0.10785E+05
    0.31106E-02    0.10872E+05
    0.31419E-02    0.10960E+05
    0.31735E-02    0.11048E+05
    0.32054E-02    0.11137E+05
    0.32376E-02    0.11226E+05
    0.32701E-02    0.11316E+05
    0.33030E-02    0.11406E+05
    0.33362E-02    0.11496E+05
    0.33697E-02    0.11587E+05
    0.34036E-02    0.11679E+05
    0.34378E-02    0.11771E+05
    0.34723E-02    0.11864E+05
    0.35072E-02    0.11956E+05
    0.35425E-02    0.12050E+05
    0.35781E-02    0.12144E+05
    0.36141E-02    0.12238E+05
    0.36504E-02    0.12333E+05
    0.36871E-02    0.12428E+05
    0.37241E-02    0.12524E+05
    0.37615E-02    0.12620E+05
    0.37993E-02    0.12717E+05
    0.38375E-02    0.12814E+05
    0.38761E-02    0.12911E+05
    0.39151E-02    0.13009E+05
    0.39544E-02    0.13107E+05
    0.39941E-02    0.13206E+05
    0.40343E-02    0.13305E+05
    0.40748E-02    0.13404E+05
    0.41158E-02    0.13504E+05
    0.41571E-02    0.13605E+05
    0.41989E-02    0.13705E+05
    0.42411E-02    0.13806E+05
    0.42838E-02    0.13908E+05
    0.43268E-02    0.14010E+05
    0.43703E-02    0.14112E+05
